Plot_ID,PREX,Matrix,Latitude,Longitude,Elevation,Treatment,Treatment2,Regeneration_year
CA59,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA
CA60,NA,NA,0.510266,-79.2272,440,active cacao,active cacao,NA
CA61,NA,NA,0.53400099,-79.18769603,324,active cacao,active cacao,NA
CA62,PREX,NA,0.511049,-79.212168,372,active cacao,active cacao,NA
CA63,PREX,NA,0.54401822,-79.14532595,240,active cacao,active cacao,NA
CA64,PREX,NA,0.54348119,-79.15456,256,active cacao,active cacao,NA
CR01,NA,NA,0.49654763,-79.17820655,560,cacao regeneration,cacao regeneration early,2017
CR02,PREX,NA,0.50150484,-79.22593494,400,cacao regeneration,cacao regeneration early,2015
CR03,NA,NA,0.50821205,-79.23688265,274,cacao regeneration,cacao regeneration early,2018
CR04,PREX,NA,0.51167917,-79.18947658,560,cacao regeneration,cacao regeneration late,2002
CR05,PREX,NA,0.51178371,-79.20359237,377,cacao regeneration,cacao regeneration early,2011
CR06,PREX,NA,0.5206616,-79.21083174,397,cacao regeneration,cacao regeneration late,1990
CR07,NA,NA,0.45898553,-79.20876011,168,cacao regeneration,cacao regeneration late,2000
CR08,NA,NA,0.4592528,-79.21039418,172,cacao regeneration,cacao regeneration late,1996
CR09,PREX,NA,0.47247446,-79.229619,159,cacao regeneration,cacao regeneration early,2017
CR10,PREX,NA,0.4771745,-79.1995872,347,cacao regeneration,cacao regeneration late,1999
CR11,PREX,NA,0.47789256,-79.20507128,372,cacao regeneration,cacao regeneration late,2000
CR12,NA,NA,0.48018456,-79.21406337,324,cacao regeneration,cacao regeneration late,2008
CR13,PREX,NA,0.48892263,-79.22616164,366,cacao regeneration,cacao regeneration early,2022
CR14,PREX,NA,0.49816025,-79.13850116,529,cacao regeneration,cacao regeneration late,1985
CR15,NA,NA,0.504488312,-79.15719613,400,cacao regeneration,cacao regeneration early,2015
CR16,NA,NA,0.51074639,-79.14442928,479,cacao regeneration,cacao regeneration early,2015
