"Plot_ID","Species_name","RegTime","Treatment2","Treatment3"
"PR21","Aegiphila_sp",36,"pasture regeneration late","regeneration late"
"CR09","Aegiphila_sp",6,"cacao regeneration early","regeneration early"
"CR09","Aegiphila_sp",6,"cacao regeneration early","regeneration early"
"CR09","Aegiphila_sp",6,"cacao regeneration early","regeneration early"
"CR09","Aegiphila_sp",6,"cacao regeneration early","regeneration early"
"CR13","Alchorneopsis_floribunda",1,"cacao regeneration early","regeneration early"
"CR09","Alchorneopsis_floribunda",6,"cacao regeneration early","regeneration early"
"CR13","Alchorneopsis_floribunda",1,"cacao regeneration early","regeneration early"
"CR09","Alchorneopsis_floribunda",6,"cacao regeneration early","regeneration early"
"CR13","Alchorneopsis_floribunda",1,"cacao regeneration early","regeneration early"
"OG39","Allophylus_angustatus",55,"old-growth forest","old-growth forest"
"OG39","Allophylus_angustatus",55,"old-growth forest","old-growth forest"
"OG39","Allophylus_angustatus",55,"old-growth forest","old-growth forest"
"OG44","Allophylus_angustatus",55,"old-growth forest","old-growth forest"
"OG52","Allophylus_angustatus",55,"old-growth forest","old-growth forest"
"PR24","Allophylus_angustatus",21,"pasture regeneration late","regeneration late"
"PR34","Allophylus_angustatus",38,"pasture regeneration late","regeneration late"
"OG52","Allophylus_dodsonii",55,"old-growth forest","old-growth forest"
"OG52","Allophylus_dodsonii",55,"old-growth forest","old-growth forest"
"OG52","Allophylus_dodsonii",55,"old-growth forest","old-growth forest"
"OG52","Allophylus_dodsonii",55,"old-growth forest","old-growth forest"
"OG49","Anacardiaceae_sp_ITV3727",55,"old-growth forest","old-growth forest"
"OG52","Anacardiaceae_sp_ITV3727",55,"old-growth forest","old-growth forest"
"OG52","Anacardiaceae_sp_ITV3727",55,"old-growth forest","old-growth forest"
"OG45","Annona_papilionella",55,"old-growth forest","old-growth forest"
"OG45","Annona_papilionella",55,"old-growth forest","old-growth forest"
"CR10","Annona_papilionella",24,"cacao regeneration late","regeneration late"
"CR14","Annona_papilionella",38,"cacao regeneration late","regeneration late"
"CR10","Annona_papilionella",24,"cacao regeneration late","regeneration late"
"CR11","Annona_papilionella",23,"cacao regeneration late","regeneration late"
"CR11","Annona_papilionella",23,"cacao regeneration late","regeneration late"
"OG28","Annona_papilionella",55,"old-growth forest","old-growth forest"
"OG49","Apeiba_membranacea",55,"old-growth forest","old-growth forest"
"PR26","Banara_guianensis",28,"pasture regeneration late","regeneration late"
"PR22","Banara_guianensis",12,"pasture regeneration early","regeneration early"
"PR22","Banara_sp",12,"pasture regeneration early","regeneration early"
"PR22","Banara_sp",12,"pasture regeneration early","regeneration early"
"PR22","Banara_sp",12,"pasture regeneration early","regeneration early"
"PR23","Banara_sp1",1,"pasture regeneration early","regeneration early"
"OG49","Brosimum_guianense",55,"old-growth forest","old-growth forest"
"OG52","Brosimum_guianense",55,"old-growth forest","old-growth forest"
"OG45","Brosimum_guianense",55,"old-growth forest","old-growth forest"
"OG44","Brosimum_guianense",55,"old-growth forest","old-growth forest"
"OG52","Brosimum_guianense",55,"old-growth forest","old-growth forest"
"OG45","Brosimum_guianense",55,"old-growth forest","old-growth forest"
"PR21","Brosimum_guianense",36,"pasture regeneration late","regeneration late"
"PR21","Brosimum_guianense",36,"pasture regeneration late","regeneration late"
"CA63","Brosimum_sp1",0,"active cacao","regeneration early"
"OG51","Brosimum_sp1",55,"old-growth forest","old-growth forest"
"OG52","Brosimum_sp1",55,"old-growth forest","old-growth forest"
"OG51","Brosimum_sp1",55,"old-growth forest","old-growth forest"
"OG42","Brosimum_sp1",55,"old-growth forest","old-growth forest"
"OG52","Brosimum_sp1",55,"old-growth forest","old-growth forest"
"OG52","Brosimum_sp1",55,"old-growth forest","old-growth forest"
"OG51","Brosimum_sp1",55,"old-growth forest","old-growth forest"
"OG39","Brosimum_sp1",55,"old-growth forest","old-growth forest"
"CR08","Brosimum_sp1",27,"cacao regeneration late","regeneration late"
"PR26","Brosimum_sp1",28,"pasture regeneration late","regeneration late"
"OG28","Brosimum_sp1",55,"old-growth forest","old-growth forest"
"OG28","Brosimum_sp1",55,"old-growth forest","old-growth forest"
"OG41","Brunfelsia_dwyeri",55,"old-growth forest","old-growth forest"
"CR17","Brunfelsia_dwyeri",9,"cacao regeneration early","regeneration early"
"CA63","Bunchosia_argentea",0,"active cacao","regeneration early"
"CA63","Bunchosia_argentea",0,"active cacao","regeneration early"
"OG44","Bunchosia_argentea",55,"old-growth forest","old-growth forest"
"CR14","Carapa_megistocarpa",38,"cacao regeneration late","regeneration late"
"OG49","Casearia_mariquitensis",55,"old-growth forest","old-growth forest"
"CA63","Castilla_elastica",0,"active cacao","regeneration early"
"OG41","Castilla_elastica",55,"old-growth forest","old-growth forest"
"OG41","Castilla_elastica",55,"old-growth forest","old-growth forest"
"OG41","Castilla_elastica",55,"old-growth forest","old-growth forest"
"OG41","Castilla_elastica",55,"old-growth forest","old-growth forest"
"OG49","Castilla_elastica",55,"old-growth forest","old-growth forest"
"OG42","Castilla_elastica",55,"old-growth forest","old-growth forest"
"CR10","Castilla_elastica",24,"cacao regeneration late","regeneration late"
"CR10","Castilla_elastica",24,"cacao regeneration late","regeneration late"
"OG42","Cecropia_insignis",55,"old-growth forest","old-growth forest"
"OG52","Cecropia_sp",55,"old-growth forest","old-growth forest"
"OG52","Cecropia_sp",55,"old-growth forest","old-growth forest"
"OG42","Cecropia_sp",55,"old-growth forest","old-growth forest"
"OG52","Cecropia_sp",55,"old-growth forest","old-growth forest"
"CR13","Cecropia_sp",1,"cacao regeneration early","regeneration early"
"PR29","Cecropia_sp",6,"pasture regeneration early","regeneration early"
"PR36","Cecropia_sp",9,"pasture regeneration early","regeneration early"
"PR36","Cecropia_sp",9,"pasture regeneration early","regeneration early"
"PA56","Cecropia_sp1",0,"active pasture","regeneration early"
"CR14","Cestrum_schlechtendalii",38,"cacao regeneration late","regeneration late"
